"No","Event ID","Date time","Latitude","Longitude","Magnitude","Mag Type","Depth (km)","Phase Count","Azimuth Gap","Location","Agency"
"63","bmg2025sino","2025-09-18T19:35:20.170382Z","2.643059492111206","127.32410430908203","4.4874659123803236","MLv","6","33","129.26341247558594","Northern Molucca Sea","BMKG"
"64","bmg2025simd","2025-09-18T18:51:49.198194Z","-3.369953155517578","135.52859497070312","4.0312854569056515","MLv","25","30","63.1132583618164","West Papua Region, Indonesia","BMKG"
"65","bmg2025silc","2025-09-18T18:19:50.514381Z","-3.521437883377075","135.4949493408203","6.09725548323197","Mw","29","256","48.08248710632324","West Papua Region, Indonesia","BMKG"
"66","bmg2025siit","2025-09-18T17:08:47.304964Z","1.645308256149292","126.4563751220703","4.1316984321973047","MLv","20","34","67.98132848739624","Northern Molucca Sea","BMKG"
"67","bmg2025siem","2025-09-18T14:59:37.418502Z","-10.149673461914062","113.99476623535156","4.831237399068026","MLv","25","82","221.52560424804688","South of Java, Indonesia","BMKG"
"68","bmg2025siae","2025-09-18T12:48:56.605399Z","1.6587424278259277","126.5211944580078","4.534887388126446","MLv","23","89","69.34529829025269","Northern Molucca Sea","BMKG"
"69","bmg2025shqq","2025-09-18T08:00:02.217678Z","-3.438777208328247","133.87481689453125","4.0877800488313474","MLv","9","29","96.80553436279297","West Papua Region, Indonesia","BMKG"
"70","bmg2025shpz","2025-09-18T07:39:57.126029Z","-8.544282913208008","105.85506439208984","4.1125517359594","MLv","26","69","223.02388763427734","South of Java, Indonesia","BMKG"
"71","bmg2025shih","2025-09-18T03:47:35.169209Z","4.1560864448547363","127.62757110595703","5.190959203524359","mb","126","118","153.30796813964844","Talaud Islands, Indonesia","BMKG"
"72","bmg2025shht","2025-09-18T03:30:33.24222Z","-0.6487770080566406","128.01617431640625","4.665547666050786","MLv","10","61","61.05293464660645","Halmahera, Indonesia","BMKG"
"73","bmg2025sgvb","2025-09-17T21:06:38.582678Z","1.9133888483047485","96.90596008300781","4.0447942535842705","MLv","11","20","180.78794860839844","Off West Coast of Northern Sumatra","BMKG"
"74","bmg2025sgrq","2025-09-17T19:21:49.334534Z","-7.374067306518555","130.22171020507812","4.656198669362483","mb","113","46","45.40281677246094","Tanimbar Islands Region, Indonesia","BMKG"
"75","bmg2025sgmu","2025-09-17T16:55:27.727324Z","-10.985443115234375","111.27265930175781","4.269454857761138","MLv","5","34","253.47911071777344","South of Java, Indonesia","BMKG"
"76","bmg2025sgks","2025-09-17T15:52:48.344221Z","-7.684320449829102","129.0908966064453","4.4568405192622853","MLv","22","37","83.43190002441406","Banda Sea","BMKG"
"77","bmg2025sgfk","2025-09-17T13:11:56.927696Z","-2.752229928970337","128.11734008789062","4.3285292003239384","MLv","5","35","69.25660705566406","Ceram Sea","BMKG"
"78","bmg2025sfua","2025-09-17T07:26:44.403731Z","-2.7683265209198","128.7831268310547","4.577364601596781","MLv","11","66","39.64345169067383","Ceram Sea","BMKG"
"79","bmg2025sewv","2025-09-16T19:43:06.640243Z","-0.6146981716156006","135.62403869628906","4.1274912492184326","MLv","5","24","201.3746109008789","West Papua Region, Indonesia","BMKG"
"80","bmg2025sevj","2025-09-16T18:58:36.493283Z","-3.438673973083496","135.57948303222656","4.217026973599012","MLv","32","31","48.46713829040527","West Papua Region, Indonesia","BMKG"
"81","bmg2025secs","2025-09-16T09:33:11.845739Z","-10.217195510864258","114.10205078125","4.1064258163440446","MLv","35","49","240.90329360961914","South of Bali, Indonesia","BMKG"
"82","bmg2025sbna","2025-09-14T23:22:03.781332Z","-6.368159770965576","129.3385467529297","4.17422530419299","MLv","214","24","85.50006103515625","Banda Sea","BMKG"
"83","bmg2025sawd","2025-09-14T14:49:42.46186Z","-2.850825548171997","100.9651870727539","4.931045330089709","Mw","20","70","109.25668334960938","Southern Sumatra, Indonesia","BMKG"
"84","bmg2025sajh","2025-09-14T08:20:41.75965Z","-6.782773494720459","130.13314819335938","4.2213938520329757","MLv","124","21","81.83238220214844","Banda Sea","BMKG"
"85","bmg2025sabx","2025-09-14T04:36:20.944352Z","-6.13752031326294","130.53480529785156","4.636164342640138","M","142","66","61.67428588867188","Banda Sea","BMKG"
"86","bmg2025rzvf","2025-09-14T01:13:45.303891Z","2.583693742752075","95.70848083496094","4.529992672087237","MLv","11","67","208.56065368652344","Off West Coast of Northern Sumatra","BMKG"
"87","bmg2025rzkq","2025-09-13T19:52:42.180853Z","2.996457099914551","123.22794342041016","4.0144179484859777","MLv","459","46","116.6091766357422","Celebes Sea","BMKG"
"88","bmg2025rzgi","2025-09-13T17:42:51.953637Z","1.2289471626281738","121.84200286865234","4.2220490929772945","MLv","14","64","156.6981430053711","Minahassa Peninsula, Sulawesi","BMKG"
"89","bmg2025rywr","2025-09-13T12:49:54.1382Z","-8.95844841003418","124.04598236083984","4.102009144994743","Mw","55","56","56.5782699584961","Timor Region","BMKG"
"90","bmg2025rycq","2025-09-13T02:42:00.156816Z","5.89548921585083","126.81957244873047","4.505681404616939","MLv","126","20","193.8486328125","Mindanao, Philippines","BMKG"
"92","bmg2025rxzh","2025-09-13T01:01:08.598153Z","-6.459227561950684","104.45669555664062","4.4603519038053685","M","10","65","188.15299224853516","Sunda Strait, Indonesia","BMKG"
"93","bmg2025rxmr","2025-09-12T18:38:27.539418Z","-10.184920310974121","120.38656616210938","4.363131938381195","MLv","43","111","180.60735321044922","Sumba Region, Indonesia","BMKG"
"94","bmg2025rxji","2025-09-12T16:57:13.572473Z","-5.760609149932861","130.3098907470703","4.01487786010765","MLv","110","37","161.4665985107422","Banda Sea","BMKG"
"95","bmg2025rwwb","2025-09-12T10:15:10.161023Z","-7.220067024230957","129.5712890625","4.3097391656591784","MLv","191","8","217.40656280517578","Banda Sea","BMKG"
"96","bmg2025rwqj","2025-09-12T07:21:58.476299Z","-7.17304277420044","125.859130859375","4.517059135957279","Mw","5","50","126.9220085144043","Banda Sea","BMKG"
"97","bmg2025rwkg","2025-09-12T04:17:19.857543Z","-7.779133796691895","127.02584075927734","4.165269936577933","MLv","140","23","168.2825698852539","Banda Sea","BMKG"
"98","bmg2025rwia","2025-09-12T03:08:53.511744Z","-6.86856746673584","129.86424255371094","4.598295877027733","MLv","204","27","77.44309997558594","Banda Sea","BMKG"
"99","bmg2025ruyh","2025-09-11T09:06:28.78997Z","-5.429995536804199","131.8580322265625","4.505487845785099","Mw","73","116","48.06874084472656","Banda Sea","BMKG"
"100","bmg2025rums","2025-09-11T03:15:01.231367Z","-9.527174949645996","112.8045425415039","4.754450324647953","Mw","56","217","94.42572021484375","South of Java, Indonesia","BMKG"
"101","bmg2025ruca","2025-09-10T21:50:42.578819Z","-8.379781723022461","115.52277374267578","4.3985039120054186","MLv","223","116","65.49468612670898","Bali Region, Indonesia","BMKG"
"102","bmg2025rtzc","2025-09-10T20:22:06.688583Z","-5.997154712677002","131.2943115234375","4.2477887258819367","MLv","114","27","165.46953582763672","Banda Sea","BMKG"
"103","bmg2025rtrz","2025-09-10T16:46:45.184395Z","-6.555010795593262","130.0730438232422","4.258346732601171","MLv","191","41","79.78607177734375","Banda Sea","BMKG"
"104","bmg2025rtlj","2025-09-10T13:26:10.90775Z","-7.335993766784668","106.70462799072266","4.488529317812348","MLv","35","149","167.25213623046875","Java, Indonesia","BMKG"
"105","bmg2025rsxm","2025-09-10T06:25:41.631292Z","-0.6804639101028442","124.64449310302734","4.599345233337086","Mw(mB)","10","77","57.70730590820312","Southern Molucca Sea","BMKG"
"106","bmg2025rsun","2025-09-10T04:55:28.148504Z","-5.182971954345703","129.61387634277344","4.066738388186266","Mw(mB)","229","30","145.31724548339844","Banda Sea","BMKG"
"107","bmg2025rrxq","2025-09-09T17:21:28.981707Z","-9.27769947052002","110.40068054199219","4.004054798076182","MLv","10","68","222.81820678710938","South of Java, Indonesia","BMKG"
"108","bmg2025rrum","2025-09-09T15:46:04.985526Z","-2.7897775173187256","129.40139770507812","4.236337517126602","MLv","11","41","54.81620788574219","Seram, Indonesia","BMKG"
"109","bmg2025rrtd","2025-09-09T15:04:58.36168Z","-9.50111198425293","107.15875244140625","4.1954706663654076","MLv","10","60","253.45873260498047","South of Java, Indonesia","BMKG"
